BUCK3, BUCK4 (missing last 2 columns)

0b0000000, 0
0b0000001, 0.650
0b0000010, 0.675
0b0000011, 0.700
0b0000100, 0.725
0b0000101, 0.750
0b0000110, 0.775
0b0000111, 0.800
0b0001000, 0.825
0b0001001, 0.850
0b0001010, 0.875
0b0001011, 0.900
0b0001100, 0.925
0b0001101, 0.950
0b0001110, 0.975
0b0001111, 1.000
0b0010000, 1.025
0b0010001, 1.050
0b0010010, 1.075
0b0010011, 1.100
0b0010100, 1.125
0b0010101, 1.150
0b0010110, 1.175
0b0010111, 1.200
0b0011000, 1.225
0b0011001, 1.250
0b0011010, 1.275
0b0011011, 1.300
0b0011100, 1.325
0b0011101, 1.350
0b0011110, 1.375
0b0011111, 1.400
0b0100000, 1.425
0b0100001, 1.450
0b0100010, 1.475
0b0100011, 1.500
0b0100100, 1.525
0b0100101, 1.550
0b0100110, 1.575
0b0100111, 1.600
0b0101000, 1.625
0b0101001, 1.650
0b0101010, 1.675
0b0101011, 1.700
0b0101100, 1.725
0b0101101, 1.750
0b0101110, 1.775
0b0101111, 1.800
0b0110000, 1.825
0b0110001, 1.850
0b0110010, 1.875
0b0110011, 1.900
0b0110100, 1.925
0b0110101, 1.950
0b0110110, 1.975
0b0110111, 2.000
0b0111000, 2.025
0b0111001, 2.050
0b0111010, 2.075
0b0111011, 2.100
0b0111100, 2.125
0b0111101, 2.150
0b0111110, 2.175
0b0111111, 2.200
0b1000000, 2.225
0b1000001, 2.250
0b1000010, 2.275
0b1000011, 2.300
0b1000100, 2.325
0b1000101, 2.350
0b1000110, 2.375
0b1000111, 2.400
0b1001000, 2.425
0b1001001, 2.450
0b1001010, 2.475
0b1001011, 2.500
0b1001100, 2.525
0b1001101, 2.550
0b1001110, 2.575
0b1001111, 2.600
0b1010000, 2.625
0b1010001, 2.650
0b1010010, 2.675
0b1010011, 2.700
0b1010100, 2.725
0b1010101, 2.750
